year,mon,day,hour,min,sec,x,y,z,altitude,latitude,longitude,longitude_,L,B/B0,epoch
2017,6,24,4,21,3,6639.609770505978,1651.6089313693865,-2247.4148542771136,825.559869202023,-18.285337295404734,35.26227414152885,-324.73772585847115,1.412,2.094,2017-06-24 04:21:03+00:00
2017,6,24,4,21,9,6627.82247473231,1641.5988725692011,-2289.28523400467,825.6801616430139,-18.637884142443397,35.17950099633623,-324.82049900366377,1.422,2.135,2017-06-24 04:21:09+00:00
2017,6,24,4,21,15,6615.780306370368,1631.5256387448055,-2331.067663000088,825.8014474064476,-18.99039434421219,35.096490973941854,-324.90350902605815,1.432,2.18,2017-06-24 04:21:15+00:00
2017,6,24,4,21,21,6603.483816979638,1621.3896866306643,-2372.7602535187552,825.9237129661451,-19.342864857833202,35.01323864304544,-324.98676135695456,1.442,2.224,2017-06-24 04:21:21+00:00
2017,6,24,4,21,27,6590.933489714678,1611.1914084268462,-2414.3614025675347,826.0469454372833,-19.6952950018534,34.92973810248316,-325.07026189751684,1.452,2.27,2017-06-24 04:21:27+00:00
2017,6,24,4,21,33,6578.1298175334905,1600.9311987303895,-2455.8695107596072,826.1711317745176,-20.04768409066511,34.845983533149706,-325.1540164668503,1.463,2.318,2017-06-24 04:21:33+00:00
2017,6,24,4,21,39,6565.0733915458895,1590.609523914619,-2497.2827050924134,826.2962579319747,-20.400029072611648,34.76196891671839,-325.2380310832816,1.473,2.366,2017-06-24 04:21:39+00:00
2017,6,24,4,21,45,6551.764549086997,1580.2266448452315,-2538.5999491874636,826.4223122276753,-20.752333980366934,34.67768746331535,-325.32231253668465,1.484,2.401,2017-06-24 04:21:45+00:00
2017,6,24,4,21,51,6538.20389904312,1569.7830321743602,-2579.819377022532,826.5492803107027,-21.104595753701567,34.593133303488,-325.406866696512,1.495,2.468,2017-06-24 04:21:51+00:00
2017,6,24,4,21,57,6524.391973274165,1559.2790898489109,-2620.939404572549,826.6771485135405,-21.45681369144794,34.50830007630594,-325.49169992369406,1.506,2.522,2017-06-24 04:21:57+00:00
2017,6,24,4,22,3,6510.329313285547,1548.7152240953983,-2661.9584518724546,826.8059030181785,-21.80898708867941,34.42318148891019,-325.5768185110898,1.517,2.576,2017-06-24 04:22:03+00:00
2017,6,24,4,22,9,6496.016470295728,1538.0918434717962,-2702.874942813694,826.9355298573237,-22.1611152342504,34.337770639686596,-325.6622293603134,1.5290000000000001,2.633,2017-06-24 04:22:09+00:00
2017,6,24,4,22,15,6481.4541035318425,1527.4094305564845,-2743.6870323663775,827.0660140400314,-22.513195053962143,34.252061433037,-325.747938566963,1.54,2.6910000000000003,2017-06-24 04:22:15+00:00
2017,6,24,4,22,21,6466.642588148959,1516.6682551667172,-2784.393700007472,827.1973430575363,-22.86523054839175,34.166046276206146,-325.83395372379385,1.5519999999999998,2.7510000000000003,2017-06-24 04:22:21+00:00
2017,6,24,4,22,27,6451.582600900305,1505.8688039852623,-2824.9931083328092,827.3295016371239,-23.21721863227746,34.07971868071593,-325.9202813192841,1.564,2.812,2017-06-24 04:22:27+00:00
2017,6,24,4,22,33,6436.27473130853,1495.0114945002726,-2865.48369815633,827.4624752373938,-23.569158575226258,33.99307180545674,-326.00692819454326,1.5759999999999998,2.8760000000000003,2017-06-24 04:22:33+00:00
2017,6,24,4,22,39,6420.719578438821,1484.0967464112064,-2905.863914595863,827.5962491783584,-23.92104964082115,33.906098184138614,-326.0939018158614,1.589,2.9410000000000003,2017-06-24 04:22:39+00:00
2017,6,24,4,22,45,6404.917857614561,1473.1250553425282,-2946.131937606712,827.7308077390771,-24.272888728276975,33.81879115095205,-326.18120884904795,1.601,3.009,2017-06-24 04:22:45+00:00
2017,6,24,4,22,51,6388.869974918935,1462.0966981732736,-2986.2867613152744,827.8661377740609,-24.624679808499085,33.73114249301062,-326.2688575069894,1.614,3.055,2017-06-24 04:22:51+00:00
2017,6,24,4,22,57,6372.576662969248,1451.0121744782496,-3026.326573850848,828.0022233012105,-24.976419767331066,33.643145116567325,-326.3568548834327,1.6269999999999998,3.1489999999999996,2017-06-24 04:22:57+00:00
2017,6,24,4,23,3,6356.038558648948,1439.871912567966,-3066.2498383798293,828.139049108483,-25.328107843918165,33.554791546253796,-326.4452084537462,1.64,3.2230000000000003,2017-06-24 04:23:03+00:00
2017,6,24,4,23,9,6339.2563082036795,1428.6763428462323,-3106.0550227866634,828.2765998564955,-25.679743271165385,33.466073662621056,-326.53392633737894,1.653,3.299,2017-06-24 04:23:09+00:00
